Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,salary
645,John Thompson*,208.0,102.0,Providence College,1941.0,Washington,District of Columbia,212049.0
646,John Tresvant,201.0,97.0,Seattle University,1939.0,,,47463.0
647,George Wilson,203.0,102.0,University of Cincinnati,1942.0,Meridian,Mississippi,236424.0
648,Rick Barry*,201.0,92.0,University of Miami,1944.0,Elizabeth,New Jersey,190077.0
649,Jesse Branson,201.0,88.0,Elon University,1942.0,Burlington,North Carolina,158043.0
650,Bill Buntin,201.0,113.0,University of Michigan,1942.0,Detroit,Michigan,234723.0
651,Barry Clemens,198.0,95.0,Ohio Wesleyan University,1943.0,Dayton,Ohio,177987.0
652,Billy Cunningham*,198.0,95.0,University of North Carolina,1943.0,Brooklyn,New York,248771.0
653,Keith Erickson,196.0,88.0,"University of California, Los Angeles",1944.0,San Francisco,California,53074.0
654,John Fairchild,203.0,92.0,Brigham Young University,1943.0,Encinitas,California,183643.0
655,Will Frazier,201.0,95.0,Grambling State University,1942.0,Minden,Louisiana,144771.0
656,Gail Goodrich*,185.0,77.0,"University of California, Los Angeles",1943.0,Los Angeles,California,41089.0
657,Fred Hetzel,203.0,99.0,Davidson College,1942.0,Washington,District of Columbia,32510.0
658,Jon McGlocklin,196.0,92.0,Indiana University,1943.0,Franklin,Indiana,138478.0
659,Thales McReynolds,190.0,83.0,Miles College,1943.0,Birmingham,Alabama,101844.0
660,Ron Reed,196.0,92.0,University of Notre Dame,1942.0,La Porte,Indiana,194609.0
661,Jerry Sloan*,196.0,88.0,University of Evansville,1942.0,McLeansboro,Illinois,104169.0
662,Willie Somerset,173.0,77.0,Duquesne University,1942.0,Sharon,Pennsylvania,108788.0
663,Dave Stallworth,201.0,90.0,Wichita State University,1941.0,Dallas,Texas,79205.0
664,Joe Strawder,208.0,106.0,Bradley University,1940.0,Belle Glade,Florida,155454.0
665,Dick Van,208.0,106.0,,1940.0,,,98514.0
666,Tom Van,208.0,106.0,,1940.0,,,77432.0
667,Bob Warlick,196.0,90.0,Pepperdine University,1941.0,Hickory,North Carolina,124165.0
668,Jim Washington,198.0,95.0,Villanova University,1943.0,Philadelphia,Pennsylvania,33882.0
669,Ron Watts,198.0,95.0,Wake Forest University,1943.0,,,187860.0
670,Bob Weiss,188.0,81.0,Pennsylvania State University,1942.0,Easton,Pennsylvania,75688.0
671,Henry Akin,208.0,102.0,Morehead State University,1944.0,Detroit,Michigan,76788.0
672,Johnny Austin,183.0,77.0,Boston College,1944.0,Washington,District of Columbia,217293.0
673,Jim Barnett,203.0,95.0,University of Texas at El Paso,1941.0,Tuckerman,Arkansas,47591.0
674,Dave Bing*,190.0,81.0,Syracuse University,1943.0,Washington,District of Columbia,218331.0
675,John Block,206.0,93.0,University of Southern California,1944.0,Los Angeles,California,193077.0
676,Nate Bowman,208.0,104.0,Wichita State University,1943.0,Fort Worth,Texas,51307.0
677,Jerry Chambers,196.0,83.0,University of Utah,1943.0,Washington,District of Columbia,87677.0
678,Archie Clark,188.0,79.0,University of Minnesota,1941.0,Conway,Arkansas,220811.0
679,Freddie Crawford,193.0,85.0,St. Bonaventure University,1941.0,New York,New York,115268.0
680,Dave Deutsch,185.0,77.0,University of Rochester,1945.0,Brooklyn,New York,42832.0
681,Joe Ellis,198.0,79.0,University of San Francisco,1944.0,,,37406.0
682,Hank Finkel,213.0,108.0,University of Dayton,1942.0,Union City,New Jersey,98143.0
683,Matt Guokas,190.0,88.0,Saint Joseph's University,1915.0,,,170003.0
684,Bob Hogsett,201.0,104.0,University of Tennessee,1941.0,,,172246.0
685,Lou Hudson,196.0,95.0,University of Minnesota,1944.0,Greensboro,North Carolina,181787.0
686,Neil Johnson,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio,204862.0
687,Toby Kimball,198.0,99.0,University of Connecticut,1942.0,Framingham,Massachusetts,70208.0
688,Tommy Kron,196.0,90.0,University of Kentucky,1943.0,,,239589.0
689,Clyde Lee,208.0,92.0,Vanderbilt University,1944.0,Nashville,Tennessee,84888.0
690,Bob Love,203.0,97.0,Southern University and A&M College,1942.0,Bastrop,Louisiana,217516.0
691,Jack Marin,201.0,90.0,Duke University,1944.0,Sharon,Pennsylvania,233055.0
692,Bill Melchionni,185.0,74.0,Villanova University,1944.0,Philadelphia,Pennsylvania,206197.0
693,Wayne Molis,203.0,104.0,Lewis University,1943.0,Chicago,Illinois,131615.0
694,Erwin Mueller,203.0,104.0,University of San Francisco,1944.0,,,224438.0
695,Dorie Murrey,203.0,97.0,University of Detroit Mercy,1943.0,,,138349.0
696,Flynn Robinson,185.0,83.0,University of Wyoming,1941.0,Elgin,Illinois,101106.0
697,Cazzie Russell,196.0,98.0,University of Michigan,1944.0,Chicago,Illinois,138199.0
698,Dave Schellhase,190.0,92.0,Purdue University,1944.0,Evansville,Indiana,187040.0
699,Dick Snyder,196.0,93.0,Davidson College,1944.0,North Canton,Ohio,63743.0
700,Jim Ware,201.0,95.0,Oklahoma City University,1944.0,Natchez,Mississippi,231462.0
701,Walt Wesley,211.0,99.0,University of Kansas,1945.0,Fort Myers,Florida,218513.0
702,Bud Acton,198.0,95.0,Hillsdale College,1942.0,,,233468.0
703,Cliff Anderson,188.0,90.0,Saint Joseph's University,1944.0,,,176392.0
704,Bill Bradley*,196.0,92.0,Princeton University,1943.0,Crystal City,Missouri,62487.0
705,Tyrone Britt,193.0,86.0,Johnson C. Smith University,1944.0,,,136016.0
706,Jim Burns,190.0,88.0,Northwestern University,1945.0,,,78655.0
707,Jim Caldwell,208.0,108.0,Georgia Institute of Technology,1943.0,Durham,North Carolina,152477.0
708,George Carter,193.0,95.0,St. Bonaventure University,1944.0,Buffalo,New York,176549.0
709,Jim Davis,206.0,102.0,University of Colorado,1941.0,Muncie,Indiana,142283.0
710,Bill Dinwiddie,201.0,99.0,New Mexico Highlands University,1943.0,,,213978.0
711,Sonny Dove,201.0,89.0,St. John's University,1945.0,Brooklyn,New York,53460.0
712,Ron Filipek,196.0,92.0,Tennessee Technological University,1944.0,,,154598.0
713,Jim Fox,208.0,104.0,University of South Carolina,1943.0,Atlanta,Georgia,142805.0
714,Walt Frazier*,193.0,90.0,Southern Illinois University,1945.0,Atlanta,Georgia,248898.0
715,Mal Graham,185.0,83.0,New York University,1945.0,,,213769.0
716,Gary Gray,185.0,83.0,Oklahoma City University,1945.0,,,124159.0
717,Dennis Hamilton,203.0,95.0,Arizona State University,1944.0,Huntington Beach,California,105994.0
718,Clem Haskins,190.0,88.0,Western Kentucky University,1943.0,Campbellsville,Kentucky,100399.0
719,Al Jackson,185.0,83.0,Wilberforce University,1943.0,Cleveland,Ohio,149274.0
720,Phil Jackson*,203.0,99.0,University of North Dakota,1945.0,Deer Lodge,Montana,120637.0
721,Johnny Jones,201.0,92.0,"California State University, Los Angeles",1943.0,Washington,District of Columbia,96704.0
722,Nick Jones,188.0,86.0,University of Oregon,1945.0,,,238239.0
723,Dave Lattin,198.0,102.0,University of Texas at El Paso,1943.0,Houston,Texas,51643.0
724,George Lehmann,183.0,81.0,Campbell University,1942.0,Riverside,New Jersey,113798.0
725,Bobby Lewis,190.0,79.0,University of North Carolina,1945.0,,,184835.0
726,Paul Long,188.0,81.0,Wake Forest University,1944.0,Louisville,Kentucky,208008.0
727,Plummer Lott,196.0,95.0,Seattle University,1945.0,,,202150.0
728,Ed Manning,201.0,95.0,Jackson State University,1944.0,Summit,Mississippi,127120.0
729,Stan McKenzie,196.0,88.0,New York University,1944.0,Miami,Florida,131290.0
730,Jay Miller,196.0,92.0,University of Notre Dame,1943.0,St. Louis,Missouri,96095.0
731,Earl Monroe*,190.0,83.0,Winston-Salem State University,1944.0,Philadelphia,Pennsylvania,231404.0
732,George Patterson,203.0,104.0,University of Toledo,1939.0,,,199358.0
733,Jim Reid,198.0,95.0,Winston-Salem State University,1945.0,,,98399.0
734,Pat Riley*,193.0,92.0,University of Kentucky,1945.0,Rome,New York,151020.0
735,Bob Rule,206.0,99.0,Colorado State University,1944.0,Riverside,California,197954.0
736,Craig Spitzer,213.0,102.0,Tulane University,1945.0,,,117901.0
737,Al Tucker,203.0,86.0,Oklahoma Baptist University,1943.0,Dayton,Ohio,65166.0
738,Bill Turner,201.0,99.0,University of Akron,1944.0,,,79808.0
739,Jimmy Walker,190.0,88.0,Providence College,1944.0,Amherst,Virginia,45837.0
740,Rick Weitzman,188.0,79.0,Northeastern University,1946.0,,,172727.0
741,Roland West,193.0,80.0,University of Cincinnati,1944.0,,,135628.0
742,John Wetzel,196.0,86.0,Virginia Polytechnic Institute and State University,1944.0,Waynesboro,Virginia,75966.0
743,Ken Wilburn,198.0,88.0,Central State University,1944.0,River Rouge,Michigan,186557.0
744,Art Williams,185.0,81.0,"California State Polytechnic University, Pomona",1939.0,Bonham,Texas,76251.0
745,Tom Workman,201.0,98.0,Seattle University,1944.0,Seattle,Washington,84255.0
746,Zaid Abdul-Aziz,206.0,106.0,Iowa State University,1946.0,Brooklyn,New York,202695.0
747,Rick Adelman,185.0,79.0,Loyola Marymount University,1946.0,Lynwood,California,97936.0
748,Bob Allen,206.0,92.0,Marshall University,1946.0,,,106613.0
749,Harry Barnes,190.0,92.0,Northeastern University,1945.0,,,51027.0
750,Ed Biedenbach,185.0,79.0,North Carolina State University,1945.0,,,141553.0
751,Tom Boerwinkle,213.0,120.0,University of Tennessee,1945.0,Cleveland,Ohio,170103.0
752,Jay Carty,203.0,99.0,Oregon State University,1941.0,,,160605.0
753,Don Chaney,196.0,95.0,University of Houston,1946.0,Baton Rouge,Louisiana,81981.0
754,Dick Cunningham,208.0,111.0,Murray State University,1946.0,Canton,Ohio,65370.0
755,Fred Foster,196.0,95.0,Miami University,1946.0,Springfield,Ohio,88027.0
756,Pat Frink,193.0,88.0,University of Colorado,1945.0,,,176012.0
757,Gary Gregor,201.0,102.0,University of South Carolina,1945.0,Charlestown,West Virginia,209345.0
758,Al Hairston,185.0,77.0,Bowling Green State University,1945.0,,,118262.0
759,Shaler Halimon,196.0,90.0,Utah State University,1945.0,Tampa,Florida,91231.0
760,Skip Harlicka,185.0,83.0,University of South Carolina,1946.0,,,162540.0
761,Art Harris,193.0,83.0,Stanford University,1947.0,,,111252.0
762,Elvin Hayes*,206.0,106.0,University of Houston,1945.0,Rayville,Louisiana,159671.0
763,Bill Hewitt,201.0,95.0,University of Southern California,1944.0,Cambridge,Massachusetts,109860.0
764,Bill Hosket,203.0,102.0,Ohio State University,1946.0,Dayton,Ohio,158914.0
765,Rich Johnson,201.0,95.0,Grambling State University,1946.0,,,67490.0
766,Bob Kauffman,203.0,108.0,Guilford College,1946.0,Brooklyn,New York,17130.0
767,Joe Kennedy,198.0,95.0,Duke University,1947.0,,,179614.0
768,Rod Knowles,206.0,97.0,Davidson College,1946.0,,,26761.0
769,Stu Lantz,190.0,79.0,University of Nebraska,1946.0,Uniontown,Pennsylvania,209673.0
770,Don May,193.0,90.0,University of Dayton,1946.0,Dayton,Ohio,28252.0
771,Otto Moore,211.0,92.0,University of Texas-Pan American,1946.0,Miami,Florida,193573.0
772,Dave Newmark,213.0,108.0,Columbia University,1946.0,Brooklyn,New York,140909.0
773,Rich Niemann,213.0,111.0,Saint Louis University,1946.0,St. Louis,Missouri,147921.0
774,Barry Orms,190.0,86.0,Saint Louis University,1946.0,St. Louis,Missouri,186683.0
775,Charlie Paulk,203.0,99.0,Northeastern State University,1946.0,Fitzgerald,Georgia,131326.0
776,Loy Petersen,196.0,92.0,Oregon State University,1945.0,,,238812.0
777,Bob Quick,196.0,97.0,Xavier University,1946.0,Thornton,Mississippi,83304.0
778,Craig Raymond,211.0,106.0,Brigham Young University,1945.0,Aberdeen,Washington,147606.0
779,Mike Riordan,193.0,90.0,Providence College,1945.0,New York,New York,125832.0
780,Dale Schlueter,208.0,102.0,Colorado State University,1945.0,Tacoma,Washington,46378.0
781,Doug Sims,201.0,88.0,Kent State University,1943.0,Elba,Alabama,199715.0
782,Greg Smith,196.0,88.0,Western Kentucky University,1947.0,Princeton,Kentucky,167216.0
783,John Trapp,201.0,95.0,"University of Nevada, Las Vegas",1945.0,Detroit,Michigan,201706.0
784,Wes Unseld*,201.0,111.0,University of Louisville,1946.0,Louisville,Kentucky,21294.0
785,Dwight Waller,198.0,99.0,Tennessee State University,1945.0,Brownsville,Tennessee,211436.0
786,Cliff Williams,190.0,81.0,Bowling Green State University,1945.0,,,57636.0
787,Ron Williams,190.0,85.0,West Virginia University,1944.0,Weirton,West Virginia,88940.0
788,Sam Williams,190.0,81.0,University of Iowa,1945.0,,,112062.0
789,Kareem Abdul-Jabbar*,218.0,102.0,"University of California, Los Angeles",1947.0,New York,New York,29890.0
790,Lucius Allen,188.0,79.0,"University of California, Los Angeles",1947.0,Kansas City,Kansas,51926.0
791,Wally Anderzunas,201.0,99.0,Creighton University,1946.0,,,193322.0
792,John Arthurs,193.0,83.0,Tulane University,1947.0,,,41005.0
793,Johnny Baum,196.0,90.0,Temple University,1946.0,Philadelphia,Pennsylvania,150560.0
794,Butch Beard,190.0,83.0,University of Louisville,1947.0,Hardinsburg,Kentucky,185335.0
795,Fred Carter,190.0,83.0,Mount St. Mary's University,1945.0,Philadelphia,Pennsylvania,174311.0
796,Bob Dandridge,198.0,88.0,Norfolk State University,1947.0,Richmond,Virginia,23432.0
797,Mike Davis,190.0,83.0,Virginia Union University,1946.0,Brooklyn,New York,68910.0
798,Dick Garrett,190.0,83.0,Southern Illinois University,1947.0,,,165252.0
799,Herm Gilliam,190.0,86.0,Purdue University,1946.0,Winston-Salem,North Carolina,214101.0
800,Bob Greacen,201.0,93.0,Rutgers University,1947.0,,,48447.0
801,Lamar Green,201.0,95.0,Morehead State University,1947.0,Birmingham,Alabama,33278.0
802,Connie Hawkins*,203.0,95.0,University of Iowa,1942.0,Brooklyn,New York,175645.0
803,Brian Heaney,188.0,81.0,Acadia University,1946.0,,,28802.0
804,Steve Kuberski,203.0,97.0,Bradley University,1947.0,Moline,Illinois,167019.0
805,Mike Lynn,201.0,97.0,"University of California, Los Angeles",1945.0,Covina,California,173287.0
806,Willie McCarter,190.0,79.0,Drake University,1946.0,Gary,Indiana,205829.0
807,Steve Mix,201.0,97.0,University of Toledo,1947.0,Toledo,Ohio,59646.0
808,Grady O'Malley,196.0,92.0,Manhattan College,1948.0,Boston,Massachusetts,203426.0
809,Bud Ogden,198.0,97.0,Santa Clara University,1946.0,San Luis Obispo,California,150668.0
810,Bob Portman,196.0,90.0,Creighton University,1947.0,San Francisco,California,27935.0
811,Luther Rackley,208.0,99.0,Xavier University,1946.0,Bainbridge,Georgia,113993.0
812,George Reynolds,193.0,88.0,University of Houston,1947.0,,,156353.0
813,Rick Roberson,206.0,104.0,University of Cincinnati,1947.0,Memphis,Tennessee,242081.0
814,Dave Scholz,203.0,99.0,University of Illinois at Urbana-Champaign,1948.0,,,44604.0
815,Bingo Smith,196.0,86.0,Saint Peter's College,1939.0,,,31445.0
816,Norm Van,196.0,86.0,,1939.0,,,137881.0
817,Neal Walk,208.0,99.0,University of Florida,1948.0,Cleveland,Ohio,83224.0
818,John Warren,190.0,81.0,St. John's University,1947.0,Sparta,Georgia,84182.0
819,Jo Jo,190.0,81.0,,1947.0,,,239524.0
820,Bernie Williams,190.0,79.0,La Salle University,1945.0,Washington,District of Columbia,226976.0
821,Lee Winfield,188.0,78.0,University of North Texas,1947.0,St. Louis,Missouri,127896.0
822,Don Adams,198.0,95.0,Northwestern University,1947.0,Atlanta,Georgia,218799.0
823,Tiny Archibald*,185.0,68.0,University of Texas at El Paso,1948.0,New York,New York,110564.0
824,Bob Arnzen,196.0,92.0,University of Notre Dame,1947.0,Covington,Kentucky,27839.0
825,Dennis Awtrey,208.0,106.0,Santa Clara University,1948.0,Hollywood,California,145968.0
826,Moe Barr,193.0,88.0,Duquesne University,1944.0,,,124828.0
827,Tom Black,208.0,99.0,South Dakota State University,1941.0,,,176404.0
828,Bob Christian,208.0,115.0,Grambling State University,1946.0,,,217322.0
829,Jimmy Collins,188.0,79.0,New Mexico State University,1946.0,,,126282.0
830,Joe Cooke,190.0,79.0,Indiana University,1948.0,,,97504.0
831,Dave Cowens*,206.0,104.0,Florida State University,1948.0,Newport,Kentucky,98902.0
832,Pete Cross,206.0,104.0,University of San Francisco,1948.0,,,98763.0
833,Terry Driscoll,201.0,97.0,Boston College,1947.0,Winthrop,Massachusetts,137159.0
834,Claude English,193.0,83.0,University of Rhode Island,1946.0,Columbus,Georgia,147834.0
835,Greg Fillmore,216.0,108.0,Cheyney University of Pennsylvania,1947.0,Philadelphia,Pennsylvania,222508.0
836,Levi Fontaine,193.0,86.0,University of Maryland Eastern Shore,1948.0,,,65694.0
837,Jake Ford,190.0,81.0,University of Maryland Eastern Shore,1946.0,,,178100.0
838,Gary Freeman,206.0,95.0,Oregon State University,1948.0,,,97576.0
839,Walt Gilmore,198.0,102.0,Fort Valley State University,1947.0,,,193875.0
840,Spencer Haywood*,203.0,102.0,University of Detroit Mercy,1949.0,Silver City,Mississippi,122735.0
841,Gar Heard,198.0,99.0,University of Oklahoma,1948.0,Hogansville,Georgia,71041.0
842,Al Henry,206.0,86.0,University of Wisconsin,1949.0,,,128368.0
843,A.W. Holt,206.0,86.0,,1949.0,,,226065.0
844,Greg Howard,206.0,97.0,University of New Mexico,1948.0,Pittsburgh,Pennsylvania,102894.0
845,John Hummer,206.0,104.0,Princeton University,1948.0,Washington,District of Columbia,116698.0
846,Greg Hyder,198.0,97.0,Eastern New Mexico University,1948.0,,,166643.0
847,George Johnson,211.0,111.0,Stephen F. Austin State University,1947.0,Herleton,Texas,146617.0
848,John Johnson,201.0,90.0,University of Iowa,1947.0,Carthage,Mississippi,180239.0
849,Earnie Killum,190.0,81.0,Stetson University,1948.0,,,215944.0
850,Ron Knight,201.0,97.0,"California State University, Los Angeles",1947.0,,,233474.0
851,Sam Lacey,208.0,106.0,New Mexico State University,1948.0,Indianaola,Mississippi,215118.0
852,Bob Lanier*,211.0,113.0,St. Bonaventure University,1948.0,Buffalo,New York,93715.0
853,Pete Maravich*,196.0,89.0,Louisiana State University,1947.0,Aliquippa,Pennsylvania,107204.0
854,Harvey Marlatt,190.0,83.0,Eastern Michigan University,1948.0,,,66318.0
855,Eddie Mast,206.0,99.0,Temple University,1948.0,Philadelphia,Pennsylvania,22206.0
856,Jim McMillian,196.0,97.0,Columbia University,1948.0,Raeford,North Carolina,58097.0
857,Larry Mikan,201.0,95.0,University of Minnesota,1948.0,,,25792.0
858,Rex Morgan,196.0,86.0,Jacksonville University,1948.0,Charleston,Illinois,188687.0
859,Calvin Murphy*,175.0,74.0,Niagara University,1948.0,Norwalk,Connecticut,84112.0
860,Ralph Ogden,196.0,92.0,Santa Clara University,1948.0,,,140113.0
861,Curtis Perry,201.0,99.0,Missouri State University,1948.0,Washington,District of Columbia,237888.0
862,Geoff Petrie,193.0,86.0,Princeton University,1948.0,Darby,Pennsylvania,234469.0
863,Mike Price,190.0,90.0,University of Illinois at Urbana-Champaign,1948.0,Russellville,Kentucky,15250.0
864,Bob Riley,206.0,106.0,Mount St. Mary's University,1948.0,,,165348.0
865,Paul Ruffner,208.0,102.0,Brigham Young University,1948.0,Downey,California,85300.0
866,Mike Silliman,198.0,102.0,United States Military Academy,1944.0,Louisville,Kentucky,204219.0
867,Garfield Smith,206.0,106.0,Eastern Kentucky University,1945.0,Campbellsville,Kentucky,31303.0
868,Dave Sorenson,203.0,102.0,Ohio State University,1948.0,,,169501.0
869,Dennis Stewart,198.0,99.0,University of Michigan,1947.0,,,178991.0
870,Bill Stricker,206.0,95.0,University of the Pacific,1948.0,,,101734.0
871,Gary Suiter,206.0,102.0,Midwestern State University,1945.0,,,166510.0
872,Fred Taylor,196.0,81.0,University of Texas-Pan American,1948.0,Houston,Texas,166285.0
873,Joe Thomas,198.0,92.0,Marquette University,1948.0,Canton,Georgia,246893.0
874,Rudy Tomjanovich,203.0,98.0,University of Michigan,1948.0,Hamtramck,Michigan,164228.0
875,John Vallely,190.0,83.0,"University of California, Los Angeles",1948.0,,,171662.0
876,Cornell Warner,206.0,99.0,Jackson State University,1948.0,Jackson,Mississippi,171542.0
877,Bobby Washington,180.0,79.0,Eastern Kentucky University,1947.0,,,178932.0
878,Jeff Webb,193.0,77.0,Kansas State University,1948.0,,,115509.0
879,Herb White,188.0,88.0,University of Georgia,1948.0,,,204909.0
880,Milt Williams,188.0,82.0,Lincoln University of Missouri,1945.0,Seattle,Washington,128403.0
881,Willie Williams,201.0,90.0,Florida State University,1946.0,,,66465.0
882,Marv Winkler,185.0,74.0,University of Louisiana at Lafayette,1948.0,,,29842.0
883,Gary Zeller,190.0,92.0,Drake University,1947.0,,,22932.0
884,Bill Zopf,185.0,77.0,Duquesne University,1948.0,,,180880.0
885,Odis Allison,198.0,88.0,"University of Nevada, Las Vegas",1949.0,,,173049.0
886,Vic Bartolome,213.0,104.0,Oregon State University,1948.0,,,162960.0
887,Fred Brown,190.0,82.0,University of Iowa,1948.0,Milwaukee,Wisconsin,173142.0
888,Austin Carr,193.0,90.0,University of Notre Dame,1948.0,Washington,District of Columbia,57248.0
889,Sid Catlett,198.0,104.0,University of Notre Dame,1948.0,,,186034.0
890,Phil Chenier,190.0,81.0,University of California,1950.0,Berkeley,California,105055.0
891,Jim Cleamons,190.0,83.0,Ohio State University,1949.0,Lincolnton,North Carolina,88381.0
892,Charlie Davis,188.0,72.0,Wake Forest University,1949.0,New York,New York,29385.0
893,Jackie Dinkins,196.0,95.0,Voorhees College,1950.0,,,50503.0
894,Ken Durrett,201.0,86.0,La Salle University,1948.0,Pittsburgh,Pennsylvania,75113.0
895,Dick Gibbs,196.0,95.0,University of Texas at El Paso,1948.0,Ames,Iowa,217510.0
896,Clarence Glover,203.0,95.0,Western Kentucky University,1947.0,Horse Cave,Kentucky,152956.0
897,Jeff Halliburton,196.0,87.0,Drake University,1949.0,,,122015.0
898,Fred Hilton,190.0,83.0,Grambling State University,1948.0,,,80877.0
899,Jake Jones,190.0,81.0,Assumption College,1949.0,,,114751.0
900,Mo Layton,185.0,81.0,University of Southern California,1948.0,Newark,New Jersey,45462.0
901,Stan Love,206.0,97.0,University of Oregon,1949.0,Los Angeles,California,56779.0
902,Charlie Lowery,190.0,83.0,University of Puget Sound,1949.0,,,60570.0
903,Jim Marsh,201.0,97.0,University of Southern California,1946.0,,,212381.0
904,Jim McDaniels,211.0,103.0,Western Kentucky University,1948.0,Scottsville,Kentucky,230732.0
905,Gil McGregor,203.0,108.0,Wake Forest University,1949.0,,,45838.0
906,Kenny McIntosh,201.0,102.0,Eastern Michigan University,1949.0,Detroit,Michigan,86156.0
907,Cliff Meely,203.0,97.0,University of Colorado,1947.0,Rosedale,Mississippi,169808.0
908,Dean Meminger,183.0,79.0,Marquette University,1948.0,Walterboro,South Carolina,146907.0
909,John Mengelt,188.0,88.0,Auburn University,1949.0,Lacrosse,Wisconsin,175023.0
910,Barry Nelson,208.0,104.0,Duquesne University,1949.0,,,146423.0
911,Mike Newlin,193.0,90.0,University of Utah,1949.0,Portland,Oregon,49679.0
912,Willie Norwood,201.0,99.0,Alcorn State University,1947.0,Carrolton,Mississippi,148800.0
913,Steve Patterson,206.0,102.0,"University of California, Los Angeles",1948.0,Riverside,California,43945.0
914,Tom Payne,218.0,108.0,University of Kentucky,1950.0,,,135705.0
915,Howard Porter,203.0,99.0,Villanova University,1948.0,Stuart,Florida,247729.0
916,Clifford Ray,206.0,104.0,University of Oklahoma,1949.0,Union,South Carolina,152491.0
917,Jackie Ridgle,193.0,88.0,University of California,1948.0,Altheimer,Arkansas,159581.0
918,Rich Rinaldi,190.0,88.0,Saint Peter's College,1949.0,,,116120.0
919,Curtis Rowe,201.0,102.0,"University of California, Los Angeles",1949.0,Bessemer,Alabama,91841.0
920,Charlie Scott,196.0,79.0,University of North Carolina,1948.0,New York,New York,180419.0
921,Elmore Smith,213.0,113.0,Kentucky State University,1949.0,Macon,Georgia,202848.0
922,Randy Smith,190.0,81.0,State University of New York College at Buffalo,1948.0,Bellport,New York,56796.0
923,William Smith,213.0,99.0,Syracuse University,1949.0,,,244526.0
924,Larry Steele,196.0,81.0,University of Kentucky,1949.0,Greencastle,Indiana,101668.0
925,George Trapp,203.0,92.0,"California State University, Long Beach",1948.0,Detroit,Michigan,31843.0
926,Sidney Wicks,203.0,102.0,"University of California, Los Angeles",1949.0,Los Angeles,California,213475.0
927,Nate Williams,196.0,97.0,Utah State University,1950.0,Columbia,Louisiana,94973.0
928,Isaiah Wilson,188.0,79.0,University of Baltimore,1948.0,Philadelphia,Pennsylvania,240611.0
929,Dave Wohl,188.0,83.0,University of Pennsylvania,1949.0,Flushing,New York,84643.0
930,Barry Yates,201.0,97.0,University of Maryland,1946.0,,,195692.0
931,Charlie Yelverton,188.0,86.0,Fordham University,1948.0,,,71455.0
932,Henry Bibby,185.0,83.0,"University of California, Los Angeles",1949.0,Franklinton,North Carolina,181332.0
933,Freddie Boyd,188.0,81.0,Oregon State University,1950.0,Bakersfield,California,237611.0
934,Steve Bracey,185.0,79.0,University of Tulsa,1950.0,Brooklyn,New York,49088.0
935,John Brisker,196.0,95.0,University of Toledo,1947.0,Detroit,Michigan,140881.0
936,Roger Brown,196.0,92.0,University of Dayton,1942.0,Brooklyn,New York,114902.0
937,Corky Calhoun,201.0,95.0,University of Pennsylvania,1950.0,Waukegan,Illinois,92253.0
938,Bob Davis,201.0,97.0,Weber State University,1950.0,,,83909.0
939,Dwight Davis,203.0,99.0,University of Houston,1949.0,Houston,Texas,222793.0
940,Mickey Davis,190.0,83.0,Virginia Union University,1946.0,Brooklyn,New York,22100.0
941,Charles Dudley,188.0,81.0,University of Washington,1950.0,Harrisburg,Pennsylvania,197811.0
942,Scott English,198.0,92.0,University of Texas at El Paso,1950.0,Evanston,Illinois,62985.0
943,Chris Ford,196.0,86.0,Villanova University,1949.0,Atlantic City,New Jersey,176913.0
944,Harold Fox,188.0,79.0,Jacksonville University,1949.0,,,123028.0
945,Rowland Garrett,198.0,95.0,Florida State University,1950.0,Canton,Mississippi,239683.0
946,John Gianelli,208.0,99.0,University of the Pacific,1950.0,Stockton,California,168380.0
947,Travis Grant,201.0,97.0,Kentucky State University,1950.0,Clayton,Alabama,133048.0
948,Luther Green,201.0,86.0,Long Island University,1946.0,New York,New York,195480.0
949,Charles Johnson,183.0,77.0,University of California,1949.0,Corpus Christi,Texas,24730.0
950,Ollie Johnson,198.0,90.0,Temple University,1949.0,Philadelphia,Pennsylvania,75204.0
951,Manny Leaks,203.0,102.0,Niagara University,1945.0,Cleveland,Ohio,147402.0
952,Russ Lee,196.0,83.0,Marshall University,1950.0,Boston,Massachusetts,239442.0
953,LaRue Martin,211.0,94.0,Loyola University of Chicago,1950.0,Chicago,Illinois,142656.0
954,Bob McAdoo*,206.0,95.0,University of North Carolina,1951.0,Greensboro,North Carolina,117575.0
955,Paul McCracken,193.0,81.0,"California State University, Northridge",1950.0,New York,New York,204528.0
956,Eric McWilliams,203.0,90.0,"California State University, Long Beach",1950.0,Denver,Colorado,242207.0
957,Mark Minor,198.0,97.0,Ohio State University,1950.0,,,234154.0
958,Bob Nash,203.0,88.0,University of Hawaii,1950.0,Hartford,Connecticut,170889.0
959,Lloyd Neal,201.0,102.0,Tennessee State University,1950.0,Talbottom,Georgia,161917.0
960,Tom Patterson,198.0,99.0,Ouachita Baptist University,1948.0,,,101441.0
961,Kevin Porter,183.0,77.0,Saint Francis University,1950.0,Chicago,Illinois,79088.0
962,Jim Price,190.0,88.0,University of Louisville,1949.0,Russellville,Kentucky,74420.0
963,Mike Ratliff,208.0,104.0,University of Wisconsin-Eau Claire,1951.0,New Albany,Mississippi,187889.0
